取得日時,往路,復路,価格
2024-07-28 05:16:34,2024年08月02日,2024年08月04日,155251
2024-07-28 05:16:34,2024年08月03日,2024年08月05日,153470
2024-07-28 05:16:34,2024年08月04日,2024年08月06日,165037
2024-07-28 05:16:34,2024年08月05日,2024年08月07日,145530
2024-07-28 05:16:34,2024年08月06日,2024年08月08日,166755
2024-07-28 05:16:34,2024年08月07日,2024年08月09日,161620
2024-07-28 05:16:34,2024年08月08日,2024年08月10日,188047
2024-07-28 05:16:34,2024年08月09日,2024年08月11日,193579
2024-07-28 14:25:47,2024年08月02日,2024年08月04日,152879
2024-07-28 14:25:47,2024年08月03日,2024年08月05日,153640
2024-07-28 14:25:47,2024年08月04日,2024年08月06日,164948
2024-07-28 14:25:47,2024年08月05日,2024年08月07日,178958
2024-07-28 14:25:47,2024年08月06日,2024年08月08日,160854
2024-07-28 14:25:47,2024年08月07日,2024年08月09日,165070
2024-07-28 14:25:47,2024年08月08日,2024年08月10日,196150
2024-07-28 14:25:47,2024年08月09日,2024年08月11日,209028
2024-07-28 16:49:51,2024年08月02日,2024年08月04日,152740
2024-07-28 16:49:51,2024年08月03日,2024年08月05日,153130
2024-07-28 16:49:51,2024年08月04日,2024年08月06日,173081
2024-07-28 16:49:51,2024年08月05日,2024年08月07日,179890
2024-07-28 16:49:51,2024年08月06日,2024年08月08日,169870
2024-07-28 16:49:51,2024年08月07日,2024年08月09日,169258
2024-07-28 16:49:51,2024年08月08日,2024年08月10日,185988
2024-07-28 16:49:51,2024年08月09日,2024年08月11日,203683
2024-07-28 17:03:13,2024年08月02日,2024年08月04日,152740
2024-07-28 17:03:13,2024年08月03日,2024年08月05日,153130
2024-07-28 17:03:13,2024年08月04日,2024年08月06日,173081
2024-07-28 17:03:13,2024年08月05日,2024年08月07日,179890
2024-07-28 17:03:13,2024年08月06日,2024年08月08日,169870
2024-07-28 17:03:13,2024年08月07日,2024年08月09日,169258
2024-07-28 17:03:13,2024年08月08日,2024年08月10日,185988
2024-07-28 17:03:13,2024年08月09日,2024年08月11日,203683
2024-07-28 17:14:05,2024年08月02日,2024年08月04日,155141
2024-07-28 17:14:05,2024年08月03日,2024年08月05日,153330
2024-07-28 17:14:05,2024年08月04日,2024年08月06日,172044
2024-07-28 17:14:05,2024年08月05日,2024年08月07日,179519
2024-07-28 17:14:05,2024年08月06日,2024年08月08日,173620
2024-07-28 17:14:05,2024年08月07日,2024年08月09日,174398
2024-07-28 17:14:05,2024年08月08日,2024年08月10日,195380
2024-07-28 17:14:05,2024年08月09日,2024年08月11日,212530
2024-07-28 17:35:01,2024年08月02日,2024年08月04日,152757
2024-07-28 17:35:01,2024年08月03日,2024年08月05日,153130
2024-07-28 17:35:01,2024年08月04日,2024年08月06日,173081
2024-07-28 17:35:01,2024年08月05日,2024年08月07日,183520
2024-07-28 17:35:01,2024年08月06日,2024年08月08日,169870
2024-07-28 17:35:01,2024年08月07日,2024年08月09日,168457
2024-07-28 17:35:01,2024年08月08日,2024年08月10日,185988
2024-07-28 17:35:01,2024年08月09日,2024年08月11日,226610
2024-07-28 18:04:41,2024年08月02日,2024年08月04日,152757
2024-07-28 18:04:41,2024年08月03日,2024年08月05日,158080
2024-07-28 18:04:41,2024年08月04日,2024年08月06日,165049
2024-07-28 18:04:41,2024年08月05日,2024年08月07日,179890
2024-07-28 18:04:41,2024年08月06日,2024年08月08日,169870
2024-07-28 18:04:41,2024年08月07日,2024年08月09日,168457
2024-07-28 18:04:41,2024年08月08日,2024年08月10日,185988
2024-07-28 18:04:41,2024年08月09日,2024年08月11日,205677
2024-07-28 18:34:46,2024年08月02日,2024年08月04日,155246
2024-07-28 18:34:46,2024年08月03日,2024年08月05日,158080
2024-07-28 18:34:46,2024年08月04日,2024年08月06日,171947
2024-07-28 18:34:46,2024年08月05日,2024年08月07日,179890
2024-07-28 18:34:46,2024年08月06日,2024年08月08日,173620
2024-07-28 18:34:46,2024年08月07日,2024年08月09日,174830
2024-07-28 18:34:46,2024年08月08日,2024年08月10日,195380
2024-07-28 18:34:46,2024年08月09日,2024年08月11日,210334
2024-07-28 19:04:47,2024年08月02日,2024年08月04日,155141
2024-07-28 19:04:47,2024年08月03日,2024年08月05日,137410
2024-07-28 19:04:47,2024年08月04日,2024年08月06日,171837
2024-07-28 19:04:47,2024年08月05日,2024年08月07日,134590
2024-07-28 19:04:47,2024年08月06日,2024年08月08日,130120
2024-07-28 19:04:47,2024年08月07日,2024年08月09日,174830
2024-07-28 19:04:47,2024年08月08日,2024年08月10日,195220
2024-07-28 19:04:47,2024年08月09日,2024年08月11日,210334
2024-07-28 19:34:34,2024年08月02日,2024年08月04日,155141
2024-07-28 19:34:34,2024年08月03日,2024年08月05日,137410
2024-07-28 19:34:34,2024年08月04日,2024年08月06日,171837
2024-07-28 19:34:34,2024年08月05日,2024年08月07日,134590
2024-07-28 19:34:34,2024年08月06日,2024年08月08日,127650
2024-07-28 19:34:34,2024年08月07日,2024年08月09日,170470
2024-07-28 19:34:34,2024年08月08日,2024年08月10日,190900
2024-07-28 19:34:34,2024年08月09日,2024年08月11日,210334
2024-07-28 20:04:36,2024年08月02日,2024年08月04日,155251
2024-07-28 20:04:36,2024年08月03日,2024年08月05日,137410
2024-07-28 20:04:36,2024年08月04日,2024年08月06日,175008
2024-07-28 20:04:36,2024年08月05日,2024年08月07日,134590
2024-07-28 20:04:36,2024年08月06日,2024年08月08日,127650
2024-07-28 20:04:36,2024年08月07日,2024年08月09日,174398
2024-07-28 20:04:36,2024年08月08日,2024年08月10日,208320
2024-07-28 20:04:36,2024年08月09日,2024年08月11日,210334
2024-07-28 20:34:33,2024年08月02日,2024年08月04日,172660
2024-07-28 20:34:33,2024年08月03日,2024年08月05日,137410
2024-07-28 20:34:33,2024年08月04日,2024年08月06日,175008
2024-07-28 20:34:33,2024年08月05日,2024年08月07日,137453
2024-07-28 20:34:33,2024年08月06日,2024年08月08日,127650
2024-07-28 20:34:33,2024年08月07日,2024年08月09日,174398
2024-07-28 20:34:33,2024年08月08日,2024年08月10日,164200
2024-07-28 20:34:33,2024年08月09日,2024年08月11日,210334
2024-07-28 21:05:07,2024年08月02日,2024年08月04日,155141
2024-07-28 21:05:07,2024年08月03日,2024年08月05日,137410
2024-07-28 21:05:07,2024年08月04日,2024年08月06日,175197
2024-07-28 21:05:07,2024年08月05日,2024年08月07日,148920
2024-07-28 21:05:07,2024年08月06日,2024年08月08日,183520
2024-07-28 21:05:07,2024年08月07日,2024年08月09日,177593
2024-07-28 21:05:07,2024年08月08日,2024年08月10日,164060
2024-07-28 21:05:07,2024年08月09日,2024年08月11日,210334
2024-07-28 21:34:56,2024年08月02日,2024年08月04日,171728
2024-07-28 21:34:56,2024年08月03日,2024年08月05日,140800
2024-07-28 21:34:56,2024年08月04日,2024年08月06日,175197
2024-07-28 21:34:56,2024年08月05日,2024年08月07日,168040
2024-07-28 21:34:56,2024年08月06日,2024年08月08日,172970
2024-07-28 21:34:56,2024年08月07日,2024年08月09日,194810
2024-07-28 21:34:56,2024年08月08日,2024年08月10日,164350
2024-07-28 21:34:56,2024年08月09日,2024年08月11日,210334
2024-07-28 22:04:48,2024年08月02日,2024年08月04日,152879
2024-07-28 22:04:48,2024年08月03日,2024年08月05日,160146
2024-07-28 22:04:48,2024年08月04日,2024年08月06日,167462
2024-07-28 22:04:48,2024年08月05日,2024年08月07日,151220
2024-07-28 22:04:48,2024年08月06日,2024年08月08日,151220
2024-07-28 22:04:48,2024年08月07日,2024年08月09日,171684
2024-07-28 22:04:48,2024年08月08日,2024年08月10日,192520
2024-07-28 22:04:48,2024年08月09日,2024年08月11日,205677
2024-07-28 22:35:13,2024年08月02日,2024年08月04日,171838
2024-07-28 22:35:13,2024年08月03日,2024年08月05日,158080
2024-07-28 22:35:13,2024年08月04日,2024年08月06日,191833
2024-07-28 22:35:13,2024年08月05日,2024年08月07日,164210
2024-07-28 22:35:13,2024年08月06日,2024年08月08日,171691
2024-07-28 22:35:13,2024年08月07日,2024年08月09日,177593
2024-07-28 22:35:13,2024年08月08日,2024年08月10日,164060
2024-07-28 22:35:13,2024年08月09日,2024年08月11日,213298
2024-07-28 23:49:46,2024年08月02日,2024年08月04日,152842
2024-07-28 23:49:46,2024年08月03日,2024年08月05日,158080
2024-07-28 23:49:46,2024年08月04日,2024年08月06日,157301
2024-07-28 23:49:46,2024年08月05日,2024年08月07日,161920
2024-07-28 23:49:46,2024年08月06日,2024年08月08日,168456
2024-07-28 23:49:46,2024年08月07日,2024年08月09日,170470
2024-07-28 23:49:46,2024年08月08日,2024年08月10日,163800
2024-07-28 23:49:46,2024年08月09日,2024年08月11日,205724
2024-07-29 00:04:35,2024年08月02日,2024年08月04日,152842
2024-07-29 00:04:35,2024年08月03日,2024年08月05日,158080
2024-07-29 00:04:35,2024年08月04日,2024年08月06日,157301
2024-07-29 00:04:35,2024年08月05日,2024年08月07日,157301
2024-07-29 00:04:35,2024年08月06日,2024年08月08日,168456
2024-07-29 00:04:35,2024年08月07日,2024年08月09日,170470
2024-07-29 00:04:35,2024年08月08日,2024年08月10日,163800
2024-07-29 00:04:35,2024年08月09日,2024年08月11日,205724
2024-07-29 00:34:38,2024年08月02日,2024年08月04日,155141
2024-07-29 00:34:38,2024年08月03日,2024年08月05日,158080
2024-07-29 00:34:38,2024年08月04日,2024年08月06日,149810
2024-07-29 00:34:38,2024年08月05日,2024年08月07日,148920
2024-07-29 00:34:38,2024年08月06日,2024年08月08日,150080
2024-07-29 00:34:38,2024年08月07日,2024年08月09日,170388
2024-07-29 00:34:38,2024年08月08日,2024年08月10日,195720
2024-07-29 00:34:38,2024年08月09日,2024年08月11日,210334
2024-07-29 01:04:44,2024年08月02日,2024年08月04日,152887
2024-07-29 01:04:44,2024年08月03日,2024年08月05日,158080
2024-07-29 01:04:44,2024年08月04日,2024年08月06日,157301
2024-07-29 01:04:44,2024年08月05日,2024年08月07日,149120
2024-07-29 01:04:44,2024年08月06日,2024年08月08日,168456
2024-07-29 01:04:44,2024年08月07日,2024年08月09日,171310
2024-07-29 01:04:44,2024年08月08日,2024年08月10日,166780
2024-07-29 01:04:44,2024年08月09日,2024年08月11日,205737
2024-07-29 01:34:36,2024年08月02日,2024年08月04日,155251
2024-07-29 01:34:36,2024年08月03日,2024年08月05日,158080
2024-07-29 01:34:36,2024年08月04日,2024年08月06日,157301
2024-07-29 01:34:36,2024年08月05日,2024年08月07日,148920
2024-07-29 01:34:36,2024年08月06日,2024年08月08日,171691
2024-07-29 01:34:36,2024年08月07日,2024年08月09日,177142
2024-07-29 01:34:36,2024年08月08日,2024年08月10日,172030
2024-07-29 01:34:36,2024年08月09日,2024年08月11日,210334
2024-07-29 02:04:32,2024年08月02日,2024年08月04日,155141
2024-07-29 02:04:32,2024年08月03日,2024年08月05日,158080
2024-07-29 02:04:32,2024年08月04日,2024年08月06日,157301
2024-07-29 02:04:32,2024年08月05日,2024年08月07日,148920
2024-07-29 02:04:32,2024年08月06日,2024年08月08日,171526
2024-07-29 02:04:32,2024年08月07日,2024年08月09日,170388
2024-07-29 02:04:32,2024年08月08日,2024年08月10日,172030
2024-07-29 02:04:32,2024年08月09日,2024年08月11日,210464
2024-07-29 03:04:53,2024年08月02日,2024年08月04日,152770
2024-07-29 03:04:53,2024年08月03日,2024年08月05日,158080
2024-07-29 03:04:53,2024年08月04日,2024年08月06日,157301
2024-07-29 03:04:53,2024年08月05日,2024年08月07日,148920
2024-07-29 03:04:53,2024年08月06日,2024年08月08日,157810
2024-07-29 03:04:53,2024年08月07日,2024年08月09日,172704
2024-07-29 03:04:53,2024年08月08日,2024年08月10日,172030
2024-07-29 03:04:53,2024年08月09日,2024年08月11日,205692
2024-07-29 03:34:55,2024年08月02日,2024年08月04日,162153
2024-07-29 03:34:55,2024年08月03日,2024年08月05日,158080
2024-07-29 03:34:55,2024年08月04日,2024年08月06日,157301
2024-07-29 03:34:55,2024年08月05日,2024年08月07日,148920
2024-07-29 03:34:55,2024年08月06日,2024年08月08日,171526
2024-07-29 03:34:55,2024年08月07日,2024年08月09日,172704
2024-07-29 03:34:55,2024年08月08日,2024年08月10日,172030
2024-07-29 03:34:55,2024年08月09日,2024年08月11日,205692
2024-07-29 04:04:37,2024年08月02日,2024年08月04日,162153
2024-07-29 04:04:37,2024年08月03日,2024年08月05日,158080
2024-07-29 04:04:37,2024年08月04日,2024年08月06日,157301
2024-07-29 04:04:37,2024年08月05日,2024年08月07日,148920
2024-07-29 04:04:37,2024年08月06日,2024年08月08日,171526
2024-07-29 04:04:37,2024年08月07日,2024年08月09日,170470
2024-07-29 04:04:37,2024年08月08日,2024年08月10日,172030
2024-07-29 04:04:37,2024年08月09日,2024年08月11日,205692
2024-07-29 04:34:59,2024年08月02日,2024年08月04日,160732
2024-07-29 04:34:59,2024年08月03日,2024年08月05日,158080
2024-07-29 04:34:59,2024年08月04日,2024年08月06日,156240
2024-07-29 04:34:59,2024年08月05日,2024年08月07日,148920
2024-07-29 04:34:59,2024年08月06日,2024年08月08日,171691
2024-07-29 04:34:59,2024年08月07日,2024年08月09日,170470
2024-07-29 04:34:59,2024年08月08日,2024年08月10日,172030
2024-07-29 04:34:59,2024年08月09日,2024年08月11日,210334
2024-07-29 05:04:56,2024年08月02日,2024年08月04日,160732
2024-07-29 05:04:56,2024年08月03日,2024年08月05日,158080
2024-07-29 05:04:56,2024年08月04日,2024年08月06日,156240
2024-07-29 05:04:56,2024年08月05日,2024年08月07日,148920
2024-07-29 05:04:56,2024年08月06日,2024年08月08日,171691
2024-07-29 05:04:56,2024年08月07日,2024年08月09日,170470
2024-07-29 05:04:56,2024年08月08日,2024年08月10日,172030
2024-07-29 05:04:56,2024年08月09日,2024年08月11日,210334
2024-07-29 05:35:00,2024年08月02日,2024年08月04日,165769
2024-07-29 05:35:00,2024年08月03日,2024年08月05日,158080
2024-07-29 05:35:00,2024年08月04日,2024年08月06日,157301
2024-07-29 05:35:00,2024年08月05日,2024年08月07日,148920
2024-07-29 05:35:00,2024年08月06日,2024年08月08日,176192
2024-07-29 05:35:00,2024年08月07日,2024年08月09日,170499
2024-07-29 05:35:00,2024年08月08日,2024年08月10日,172030
2024-07-29 05:35:00,2024年08月09日,2024年08月11日,213906
2024-07-29 06:04:52,2024年08月02日,2024年08月04日,160367
2024-07-29 06:04:52,2024年08月03日,2024年08月05日,158080
2024-07-29 06:04:52,2024年08月04日,2024年08月06日,157301
2024-07-29 06:04:52,2024年08月05日,2024年08月07日,148920
2024-07-29 06:04:52,2024年08月06日,2024年08月08日,176192
2024-07-29 06:04:52,2024年08月07日,2024年08月09日,177627
2024-07-29 06:04:52,2024年08月08日,2024年08月10日,172030
2024-07-29 06:04:52,2024年08月09日,2024年08月11日,213906
2024-07-29 06:34:53,2024年08月02日,2024年08月04日,160367
2024-07-29 06:34:53,2024年08月03日,2024年08月05日,158080
2024-07-29 06:34:53,2024年08月04日,2024年08月06日,157301
2024-07-29 06:34:53,2024年08月05日,2024年08月07日,149317
2024-07-29 06:34:53,2024年08月06日,2024年08月08日,176192
2024-07-29 06:34:53,2024年08月07日,2024年08月09日,177143
2024-07-29 06:34:53,2024年08月08日,2024年08月10日,172030
2024-07-29 06:34:53,2024年08月09日,2024年08月11日,212932
2024-07-29 07:04:50,2024年08月02日,2024年08月04日,155251
2024-07-29 07:04:50,2024年08月03日,2024年08月05日,158080
2024-07-29 07:04:50,2024年08月04日,2024年08月06日,157301
2024-07-29 07:04:50,2024年08月05日,2024年08月07日,149317
2024-07-29 07:04:50,2024年08月06日,2024年08月08日,176192
2024-07-29 07:04:50,2024年08月07日,2024年08月09日,176009
2024-07-29 07:04:50,2024年08月08日,2024年08月10日,172030
2024-07-29 07:04:50,2024年08月09日,2024年08月11日,212926
2024-07-29 07:34:57,2024年08月02日,2024年08月04日,155251
2024-07-29 07:34:57,2024年08月03日,2024年08月05日,158080
2024-07-29 07:34:57,2024年08月04日,2024年08月06日,157301
2024-07-29 07:34:57,2024年08月05日,2024年08月07日,149317
2024-07-29 07:34:57,2024年08月06日,2024年08月08日,176192
2024-07-29 07:34:57,2024年08月07日,2024年08月09日,170389
2024-07-29 07:34:57,2024年08月08日,2024年08月10日,172030
2024-07-29 07:34:57,2024年08月09日,2024年08月11日,212926
2024-07-29 08:04:54,2024年08月02日,2024年08月04日,157627
2024-07-29 08:04:54,2024年08月03日,2024年08月05日,158080
2024-07-29 08:04:54,2024年08月04日,2024年08月06日,157301
2024-07-29 08:04:54,2024年08月05日,2024年08月07日,153620
2024-07-29 08:04:54,2024年08月06日,2024年08月08日,176440
2024-07-29 08:04:54,2024年08月07日,2024年08月09日,170470
2024-07-29 08:04:54,2024年08月08日,2024年08月10日,195220
2024-07-29 08:04:54,2024年08月09日,2024年08月11日,212926
2024-07-29 08:34:58,2024年08月02日,2024年08月04日,153587
2024-07-29 08:34:58,2024年08月03日,2024年08月05日,158080
2024-07-29 08:34:58,2024年08月04日,2024年08月06日,157301
